sku_id,sku_name,average_units_sold,demand_stddev,CV
SKU0101,"BrandE Toothpaste",17.1443,8.579108202979654,0.5004060875995003
SKU0085,"BrandA Shampoo",73.5545,37.206327039928254,0.5058333160659254
SKU0045,"BrandC Nuts",65.2680,33.36511612561692,0.5112018659641882
SKU0080,"BrandB Cleaner",86.3591,44.42336298791419,0.5144026085378567
SKU0068,"BrandB Detergent",42.4645,21.87336672202562,0.5150980150175385
SKU0027,"BrandC Chips",109.6710,56.57782409606957,0.5158870193302014
SKU0056,"BrandB Milk",24.8901,12.868020233800808,0.5169933769087367
SKU0065,"BrandE Cheese",62.5170,32.32435408842012,0.5170492672630633
SKU0086,"BrandB Shampoo",8.9326,4.619999658045347,0.5172074008828292
SKU0043,"BrandA Nuts",45.6050,23.672017223473922,0.519066587173052
SKU0102,"BrandF Toothpaste",104.3984,54.342753452207965,0.5205325532439705
SKU0099,"BrandC Toothpaste",103.1456,54.01201423895533,0.523648158114
SKU0040,"BrandD Biscuits",20.9239,10.957433727791413,0.5236810562824494
SKU0041,"BrandE Biscuits",81.1142,42.85767175126715,0.5283624247660372
SKU0063,"BrandC Cheese",52.6771,27.862080656183796,0.5289222924348548
SKU0019,"BrandA Energy drink",21.1983,11.325651037288926,0.534272551209853
SKU0023,"BrandE Energy drink",91.7401,49.05357084634162,0.5347015698196583
SKU0010,"BrandD Juice",45.9597,24.873408578397743,0.5412002250697496
SKU0006,"BrandF Soda",126.4973,68.80039119453876,0.5438880625082331
SKU0012,"BrandF Juice",55.5516,30.215225176053508,0.5439127976472719
SKU0005,"BrandE Soda",100.1370,54.524445123556994,0.5444985627953984
SKU0013,"BrandA Water",103.5852,56.59566435730318,0.5463682202066675
SKU0001,"BrandA Soda",125.9137,68.85517290763042,0.5468443296060256
SKU0011,"BrandE Juice",25.7642,14.123158925587154,0.5481703119143672
SKU0016,"BrandD Water",29.2602,16.06290563261921,0.5489682479510414
SKU0036,"BrandF Chocolate",33.7866,18.88059143725583,0.5588193312325863
SKU0017,"BrandE Water",126.1503,70.83784617138775,0.5615353902273742
SKU0032,"BrandB Chocolate",51.1166,29.487881575391572,0.5768753980238778
SKU0034,"BrandD Chocolate",108.6818,62.73088821617289,0.5771975890137259
SKU0031,"BrandA Chocolate",43.3716,25.202889895598783,0.581092026977421
